carrier_name,date,distance flown
AirTran Airways Corporation,2013-04-10,7287
AirTran Airways Corporation,2013-04-11,7287
AirTran Airways Corporation,2013-04-12,7287
AirTran Airways Corporation,2013-04-13,5366
AirTran Airways Corporation,2013-04-14,6128
AirTran Airways Corporation,2013-04-15,7287
AirTran Airways Corporation,2013-04-16,7287
AirTran Airways Corporation,2013-04-17,7287
AirTran Airways Corporation,2013-04-18,7287
AirTran Airways Corporation,2013-04-19,7287
AirTran Airways Corporation,2013-04-20,6128
AirTran Airways Corporation,2013-04-21,6128
AirTran Airways Corporation,2013-04-22,7287
AirTran Airways Corporation,2013-04-23,7287
AirTran Airways Corporation,2013-04-24,7287
AirTran Airways Corporation,2013-04-25,7287
AirTran Airways Corporation,2013-04-26,7287
AirTran Airways Corporation,2013-04-27,6128
AirTran Airways Corporation,2013-04-28,6128
AirTran Airways Corporation,2013-04-29,7287
AirTran Airways Corporation,2013-04-30,7287
AirTran Airways Corporation,2013-05-01,7287
AirTran Airways Corporation,2013-05-02,7287
AirTran Airways Corporation,2013-05-03,7287
AirTran Airways Corporation,2013-05-04,6128
AirTran Airways Corporation,2013-05-05,6128
AirTran Airways Corporation,2013-05-06,7287
AirTran Airways Corporation,2013-05-07,7287
AirTran Airways Corporation,2013-05-08,7287
AirTran Airways Corporation,2013-05-09,7287
AirTran Airways Corporation,2013-05-10,7287
AirTran Airways Corporation,2013-05-11,6128
AirTran Airways Corporation,2013-05-12,6128
AirTran Airways Corporation,2013-05-13,7287
AirTran Airways Corporation,2013-05-14,7287
AirTran Airways Corporation,2013-05-15,7287
AirTran Airways Corporation,2013-05-16,7287
AirTran Airways Corporation,2013-05-17,7287
AirTran Airways Corporation,2013-05-18,6128
AirTran Airways Corporation,2013-05-19,6128
AirTran Airways Corporation,2013-05-20,7287
AirTran Airways Corporation,2013-05-21,7287
AirTran Airways Corporation,2013-05-22,7287
AirTran Airways Corporation,2013-05-23,7287
AirTran Airways Corporation,2013-05-24,7287
AirTran Airways Corporation,2013-05-25,6128
AirTran Airways Corporation,2013-05-26,6128
AirTran Airways Corporation,2013-05-27,7287
AirTran Airways Corporation,2013-05-28,7287
AirTran Airways Corporation,2013-05-29,7287
AirTran Airways Corporation,2013-05-30,7287
AirTran Airways Corporation,2013-05-31,7287
AirTran Airways Corporation,2013-06-01,6128
AirTran Airways Corporation,2013-06-02,4604
AirTran Airways Corporation,2013-06-03,5763
AirTran Airways Corporation,2013-06-04,5763
AirTran Airways Corporation,2013-06-05,5763
AirTran Airways Corporation,2013-06-06,5763
AirTran Airways Corporation,2013-06-07,5763
AirTran Airways Corporation,2013-06-08,4604
AirTran Airways Corporation,2013-06-09,4604
AirTran Airways Corporation,2013-06-10,5763
AirTran Airways Corporation,2013-06-11,5763
AirTran Airways Corporation,2013-06-12,5763
AirTran Airways Corporation,2013-06-13,5763
AirTran Airways Corporation,2013-06-14,5763
AirTran Airways Corporation,2013-06-15,4604
AirTran Airways Corporation,2013-06-16,4604
AirTran Airways Corporation,2013-06-17,5763
AirTran Airways Corporation,2013-06-18,5763
AirTran Airways Corporation,2013-06-19,5763
AirTran Airways Corporation,2013-06-20,5763
AirTran Airways Corporation,2013-06-21,5763
AirTran Airways Corporation,2013-06-22,4604
AirTran Airways Corporation,2013-06-23,4604
AirTran Airways Corporation,2013-06-24,5763
AirTran Airways Corporation,2013-06-25,5763
AirTran Airways Corporation,2013-06-26,5763
AirTran Airways Corporation,2013-06-27,5763
AirTran Airways Corporation,2013-06-28,5763
AirTran Airways Corporation,2013-06-29,4604
AirTran Airways Corporation,2013-06-30,4604
AirTran Airways Corporation,2013-07-01,5763
AirTran Airways Corporation,2013-07-02,5763
AirTran Airways Corporation,2013-07-03,5763
AirTran Airways Corporation,2013-07-04,5763
AirTran Airways Corporation,2013-07-05,5763
AirTran Airways Corporation,2013-07-06,4604
AirTran Airways Corporation,2013-07-07,4604
AirTran Airways Corporation,2013-07-08,5763
AirTran Airways Corporation,2013-07-09,5763
AirTran Airways Corporation,2013-07-10,5763
AirTran Airways Corporation,2013-07-11,5763
AirTran Airways Corporation,2013-07-12,5763
AirTran Airways Corporation,2013-07-13,4604
AirTran Airways Corporation,2013-07-14,4604
AirTran Airways Corporation,2013-07-15,5763
AirTran Airways Corporation,2013-07-16,5763
AirTran Airways Corporation,2013-07-17,5763
AirTran Airways Corporation,2013-07-18,5763
AirTran Airways Corporation,2013-07-19,5763
AirTran Airways Corporation,2013-07-20,4604
AirTran Airways Corporation,2013-07-21,4604
AirTran Airways Corporation,2013-07-22,5763
AirTran Airways Corporation,2013-07-23,5763
AirTran Airways Corporation,2013-07-24,5763
AirTran Airways Corporation,2013-07-25,5763
AirTran Airways Corporation,2013-07-26,5763
AirTran Airways Corporation,2013-07-27,4604
AirTran Airways Corporation,2013-07-28,4604
AirTran Airways Corporation,2013-07-29,5763
AirTran Airways Corporation,2013-07-30,5763
AirTran Airways Corporation,2013-07-31,5763
AirTran Airways Corporation,2013-08-01,5763
AirTran Airways Corporation,2013-08-02,5763
AirTran Airways Corporation,2013-08-03,4604
AirTran Airways Corporation,2013-08-04,4604
AirTran Airways Corporation,2013-08-05,5763
AirTran Airways Corporation,2013-08-06,5763
AirTran Airways Corporation,2013-08-07,5763
AirTran Airways Corporation,2013-08-08,5763
AirTran Airways Corporation,2013-08-09,5763
AirTran Airways Corporation,2013-08-10,4604
AirTran Airways Corporation,2013-08-11,4604
AirTran Airways Corporation,2013-08-12,5763
AirTran Airways Corporation,2013-08-13,5763
AirTran Airways Corporation,2013-08-14,5763
AirTran Airways Corporation,2013-08-15,5763
AirTran Airways Corporation,2013-08-16,5763
AirTran Airways Corporation,2013-08-17,5366
AirTran Airways Corporation,2013-08-18,4604
AirTran Airways Corporation,2013-08-19,5763
AirTran Airways Corporation,2013-08-20,5763
AirTran Airways Corporation,2013-08-21,5763
AirTran Airways Corporation,2013-08-22,5763
AirTran Airways Corporation,2013-08-23,5763
AirTran Airways Corporation,2013-08-24,5366
AirTran Airways Corporation,2013-08-25,4604
AirTran Airways Corporation,2013-08-26,5763
AirTran Airways Corporation,2013-08-27,5763
AirTran Airways Corporation,2013-08-28,5763
AirTran Airways Corporation,2013-08-29,5763
AirTran Airways Corporation,2013-08-30,5763
AirTran Airways Corporation,2013-08-31,4604
AirTran Airways Corporation,2013-09-01,4604
AirTran Airways Corporation,2013-09-02,5763
AirTran Airways Corporation,2013-09-03,5763
AirTran Airways Corporation,2013-09-04,5763
AirTran Airways Corporation,2013-09-05,5763
AirTran Airways Corporation,2013-09-06,5763
AirTran Airways Corporation,2013-09-07,5366
AirTran Airways Corporation,2013-09-08,4604
AirTran Airways Corporation,2013-09-09,5763
AirTran Airways Corporation,2013-09-10,5763
AirTran Airways Corporation,2013-09-11,5763
AirTran Airways Corporation,2013-09-12,5763
AirTran Airways Corporation,2013-09-13,5763
AirTran Airways Corporation,2013-09-14,5366
AirTran Airways Corporation,2013-09-15,4604
AirTran Airways Corporation,2013-09-16,5763
AirTran Airways Corporation,2013-09-17,5763
AirTran Airways Corporation,2013-09-18,5763
AirTran Airways Corporation,2013-09-19,5763
AirTran Airways Corporation,2013-09-20,5763
AirTran Airways Corporation,2013-09-21,5366
AirTran Airways Corporation,2013-09-22,4604
AirTran Airways Corporation,2013-09-23,5763
AirTran Airways Corporation,2013-09-24,5763
AirTran Airways Corporation,2013-09-25,5763
AirTran Airways Corporation,2013-09-26,5763
AirTran Airways Corporation,2013-09-27,5763
AirTran Airways Corporation,2013-09-28,5366
AirTran Airways Corporation,2013-09-29,4604
AirTran Airways Corporation,2013-09-30,5366
AirTran Airways Corporation,2013-10-01,5366
AirTran Airways Corporation,2013-10-02,5366
AirTran Airways Corporation,2013-10-03,5366
AirTran Airways Corporation,2013-10-04,5366
AirTran Airways Corporation,2013-10-05,4207
AirTran Airways Corporation,2013-10-06,4604
AirTran Airways Corporation,2013-10-07,5366
AirTran Airways Corporation,2013-10-08,5366
AirTran Airways Corporation,2013-10-09,5366
AirTran Airways Corporation,2013-10-10,5366
AirTran Airways Corporation,2013-10-11,5366
AirTran Airways Corporation,2013-10-12,4207
AirTran Airways Corporation,2013-10-13,4604
AirTran Airways Corporation,2013-10-14,5366
AirTran Airways Corporation,2013-10-15,5366
AirTran Airways Corporation,2013-10-16,5366
AirTran Airways Corporation,2013-10-17,5366
AirTran Airways Corporation,2013-10-18,5366
AirTran Airways Corporation,2013-10-19,4207
AirTran Airways Corporation,2013-10-20,4604
AirTran Airways Corporation,2013-10-21,5366
AirTran Airways Corporation,2013-10-22,5366
AirTran Airways Corporation,2013-10-23,5366
AirTran Airways Corporation,2013-10-24,5366
AirTran Airways Corporation,2013-10-25,5366
AirTran Airways Corporation,2013-10-26,4207
AirTran Airways Corporation,2013-10-27,4604
AirTran Airways Corporation,2013-10-28,5366
AirTran Airways Corporation,2013-10-29,5366
AirTran Airways Corporation,2013-10-30,5366
AirTran Airways Corporation,2013-10-31,5366
AirTran Airways Corporation,2013-11-01,5366
AirTran Airways Corporation,2013-11-02,4207
AirTran Airways Corporation,2013-11-03,4604
AirTran Airways Corporation,2013-11-04,4604
AirTran Airways Corporation,2013-11-05,4604
AirTran Airways Corporation,2013-11-06,4604
AirTran Airways Corporation,2013-11-07,4604
AirTran Airways Corporation,2013-11-08,4604
AirTran Airways Corporation,2013-11-09,3445
AirTran Airways Corporation,2013-11-10,4604
AirTran Airways Corporation,2013-11-11,4604
AirTran Airways Corporation,2013-11-12,4604
AirTran Airways Corporation,2013-11-13,4604
AirTran Airways Corporation,2013-11-14,4604
AirTran Airways Corporation,2013-11-15,4604
AirTran Airways Corporation,2013-11-16,3445
AirTran Airways Corporation,2013-11-17,4604
AirTran Airways Corporation,2013-11-18,4604
AirTran Airways Corporation,2013-11-19,4604
AirTran Airways Corporation,2013-11-20,4604
AirTran Airways Corporation,2013-11-21,4604
AirTran Airways Corporation,2013-11-22,4604
AirTran Airways Corporation,2013-11-23,3445
AirTran Airways Corporation,2013-11-24,4604
AirTran Airways Corporation,2013-11-25,4604
AirTran Airways Corporation,2013-11-26,4604
AirTran Airways Corporation,2013-11-27,4604
AirTran Airways Corporation,2013-11-28,3445
AirTran Airways Corporation,2013-11-29,4604
AirTran Airways Corporation,2013-11-30,4604
AirTran Airways Corporation,2013-12-01,4604
AirTran Airways Corporation,2013-12-02,4604
AirTran Airways Corporation,2013-12-03,4604
AirTran Airways Corporation,2013-12-04,4604
AirTran Airways Corporation,2013-12-05,4604
AirTran Airways Corporation,2013-12-06,4604
AirTran Airways Corporation,2013-12-07,3445
AirTran Airways Corporation,2013-12-08,4604
AirTran Airways Corporation,2013-12-09,4604
AirTran Airways Corporation,2013-12-10,4604
AirTran Airways Corporation,2013-12-11,4604
AirTran Airways Corporation,2013-12-12,4604
AirTran Airways Corporation,2013-12-13,4604
AirTran Airways Corporation,2013-12-14,3445
AirTran Airways Corporation,2013-12-15,4604
AirTran Airways Corporation,2013-12-16,4604
AirTran Airways Corporation,2013-12-17,4604
AirTran Airways Corporation,2013-12-18,4604
AirTran Airways Corporation,2013-12-19,4604
AirTran Airways Corporation,2013-12-20,4604
AirTran Airways Corporation,2013-12-21,4604
AirTran Airways Corporation,2013-12-22,4604
AirTran Airways Corporation,2013-12-23,4604
AirTran Airways Corporation,2013-12-24,4604
AirTran Airways Corporation,2013-12-25,4604
AirTran Airways Corporation,2013-12-26,4604
AirTran Airways Corporation,2013-12-27,4604
AirTran Airways Corporation,2013-12-28,4604
AirTran Airways Corporation,2013-12-29,4604
AirTran Airways Corporation,2013-12-30,4604
AirTran Airways Corporation,2013-12-31,4604
Alaska Airlines Inc.,2013-01-01,4804
Alaska Airlines Inc.,2013-01-02,4804
Alaska Airlines Inc.,2013-01-03,4804
Alaska Airlines Inc.,2013-01-04,4804
Alaska Airlines Inc.,2013-01-05,4804
Alaska Airlines Inc.,2013-01-06,4804
Alaska Airlines Inc.,2013-01-07,4804
Alaska Airlines Inc.,2013-01-08,4804
Alaska Airlines Inc.,2013-01-09,4804
Alaska Airlines Inc.,2013-01-10,4804
Alaska Airlines Inc.,2013-01-11,4804
Alaska Airlines Inc.,2013-01-12,4804
Alaska Airlines Inc.,2013-01-13,4804
Alaska Airlines Inc.,2013-01-14,4804
Alaska Airlines Inc.,2013-01-15,4804
Alaska Airlines Inc.,2013-01-16,4804
Alaska Airlines Inc.,2013-01-17,4804
Alaska Airlines Inc.,2013-01-18,4804
Alaska Airlines Inc.,2013-01-19,4804
Alaska Airlines Inc.,2013-01-20,4804
Alaska Airlines Inc.,2013-01-21,4804
Alaska Airlines Inc.,2013-01-22,4804
Alaska Airlines Inc.,2013-01-23,4804
Alaska Airlines Inc.,2013-01-24,4804
Alaska Airlines Inc.,2013-01-25,4804
Alaska Airlines Inc.,2013-01-26,4804
Alaska Airlines Inc.,2013-01-27,4804
Alaska Airlines Inc.,2013-01-28,4804
Alaska Airlines Inc.,2013-01-29,4804
Alaska Airlines Inc.,2013-01-30,4804
Alaska Airlines Inc.,2013-01-31,4804
Alaska Airlines Inc.,2013-02-01,4804
Alaska Airlines Inc.,2013-02-02,4804
Alaska Airlines Inc.,2013-02-03,4804
Alaska Airlines Inc.,2013-02-04,4804
Alaska Airlines Inc.,2013-02-05,4804
Alaska Airlines Inc.,2013-02-06,4804
Alaska Airlines Inc.,2013-02-07,4804
Alaska Airlines Inc.,2013-02-08,4804
Alaska Airlines Inc.,2013-02-09,4804
Alaska Airlines Inc.,2013-02-10,4804
Alaska Airlines Inc.,2013-02-11,4804
Alaska Airlines Inc.,2013-02-12,4804
Alaska Airlines Inc.,2013-02-13,4804
Alaska Airlines Inc.,2013-02-14,4804
Alaska Airlines Inc.,2013-02-15,4804
Alaska Airlines Inc.,2013-02-16,4804
Alaska Airlines Inc.,2013-02-17,4804
Alaska Airlines Inc.,2013-02-18,4804
Alaska Airlines Inc.,2013-02-19,4804
Alaska Airlines Inc.,2013-02-20,4804
Alaska Airlines Inc.,2013-02-21,4804
Alaska Airlines Inc.,2013-02-22,4804
Alaska Airlines Inc.,2013-02-23,4804
Alaska Airlines Inc.,2013-02-24,4804
Alaska Airlines Inc.,2013-02-25,4804
Alaska Airlines Inc.,2013-02-26,4804
Alaska Airlines Inc.,2013-02-27,4804
Alaska Airlines Inc.,2013-02-28,4804
Alaska Airlines Inc.,2013-03-01,4804
Alaska Airlines Inc.,2013-03-02,4804
Alaska Airlines Inc.,2013-03-03,4804
Alaska Airlines Inc.,2013-03-04,4804
Alaska Airlines Inc.,2013-03-05,4804
Alaska Airlines Inc.,2013-03-06,4804
Alaska Airlines Inc.,2013-03-07,4804
Alaska Airlines Inc.,2013-03-08,4804
Alaska Airlines Inc.,2013-03-09,4804
Alaska Airlines Inc.,2013-03-10,4804
Alaska Airlines Inc.,2013-03-11,4804
Alaska Airlines Inc.,2013-03-12,4804
Alaska Airlines Inc.,2013-03-13,4804
Alaska Airlines Inc.,2013-03-14,4804
Alaska Airlines Inc.,2013-03-15,4804
Alaska Airlines Inc.,2013-03-16,4804
Alaska Airlines Inc.,2013-03-17,4804
Alaska Airlines Inc.,2013-03-18,4804
Alaska Airlines Inc.,2013-03-19,4804
Alaska Airlines Inc.,2013-03-20,4804
Alaska Airlines Inc.,2013-03-21,4804
Alaska Airlines Inc.,2013-03-22,4804
Alaska Airlines Inc.,2013-03-23,4804
Alaska Airlines Inc.,2013-03-24,4804
Alaska Airlines Inc.,2013-03-25,4804
Alaska Airlines Inc.,2013-03-26,4804
Alaska Airlines Inc.,2013-03-27,4804
Alaska Airlines Inc.,2013-03-28,4804
Alaska Airlines Inc.,2013-03-29,4804
Alaska Airlines Inc.,2013-03-30,4804
Alaska Airlines Inc.,2013-03-31,4804
Alaska Airlines Inc.,2013-04-01,4804
Alaska Airlines Inc.,2013-04-02,4804
Alaska Airlines Inc.,2013-04-03,4804
Alaska Airlines Inc.,2013-04-04,4804
Alaska Airlines Inc.,2013-04-05,4804
Alaska Airlines Inc.,2013-04-06,4804
Alaska Airlines Inc.,2013-04-07,4804
Alaska Airlines Inc.,2013-04-08,4804
Alaska Airlines Inc.,2013-04-09,4804
Alaska Airlines Inc.,2013-04-10,4804
Alaska Airlines Inc.,2013-04-11,4804
Alaska Airlines Inc.,2013-04-12,4804
Alaska Airlines Inc.,2013-04-13,4804
Alaska Airlines Inc.,2013-04-14,4804
Alaska Airlines Inc.,2013-04-15,4804
Alaska Airlines Inc.,2013-04-16,4804
Alaska Airlines Inc.,2013-04-17,4804
Alaska Airlines Inc.,2013-04-18,4804
Alaska Airlines Inc.,2013-04-19,4804
Alaska Airlines Inc.,2013-04-20,4804
Alaska Airlines Inc.,2013-04-21,4804
Alaska Airlines Inc.,2013-04-22,4804
Alaska Airlines Inc.,2013-04-23,4804
Alaska Airlines Inc.,2013-04-24,4804
Alaska Airlines Inc.,2013-04-25,4804
Alaska Airlines Inc.,2013-04-26,4804
Alaska Airlines Inc.,2013-04-27,4804
Alaska Airlines Inc.,2013-04-28,4804
Alaska Airlines Inc.,2013-04-29,4804
Alaska Airlines Inc.,2013-04-30,4804
Alaska Airlines Inc.,2013-05-01,4804
Alaska Airlines Inc.,2013-05-02,4804
Alaska Airlines Inc.,2013-05-03,4804
Alaska Airlines Inc.,2013-05-04,4804
Alaska Airlines Inc.,2013-05-05,4804
Alaska Airlines Inc.,2013-05-06,4804
Alaska Airlines Inc.,2013-05-07,4804
Alaska Airlines Inc.,2013-05-08,4804
Alaska Airlines Inc.,2013-05-09,4804
Alaska Airlines Inc.,2013-05-10,4804
Alaska Airlines Inc.,2013-05-11,4804
Alaska Airlines Inc.,2013-05-12,4804
Alaska Airlines Inc.,2013-05-13,4804
Alaska Airlines Inc.,2013-05-14,4804
Alaska Airlines Inc.,2013-05-15,4804
Alaska Airlines Inc.,2013-05-16,4804
Alaska Airlines Inc.,2013-05-17,4804
Alaska Airlines Inc.,2013-05-18,4804
Alaska Airlines Inc.,2013-05-19,4804
Alaska Airlines Inc.,2013-05-20,4804
Alaska Airlines Inc.,2013-05-21,4804
Alaska Airlines Inc.,2013-05-22,4804
Alaska Airlines Inc.,2013-05-23,4804
Alaska Airlines Inc.,2013-05-24,4804
Alaska Airlines Inc.,2013-05-25,4804
Alaska Airlines Inc.,2013-05-26,4804
Alaska Airlines Inc.,2013-05-27,4804
Alaska Airlines Inc.,2013-05-28,4804
Alaska Airlines Inc.,2013-05-29,4804
Alaska Airlines Inc.,2013-05-30,4804
Alaska Airlines Inc.,2013-05-31,4804
Alaska Airlines Inc.,2013-06-01,4804
Alaska Airlines Inc.,2013-06-02,4804
Alaska Airlines Inc.,2013-06-03,4804
Alaska Airlines Inc.,2013-06-04,4804
Alaska Airlines Inc.,2013-06-05,4804
Alaska Airlines Inc.,2013-06-06,4804
Alaska Airlines Inc.,2013-06-07,4804
Alaska Airlines Inc.,2013-06-08,4804
Alaska Airlines Inc.,2013-06-09,4804
Alaska Airlines Inc.,2013-06-10,4804
Alaska Airlines Inc.,2013-06-11,4804
Alaska Airlines Inc.,2013-06-12,4804
Alaska Airlines Inc.,2013-06-13,4804
Alaska Airlines Inc.,2013-06-14,4804
Alaska Airlines Inc.,2013-06-15,4804
Alaska Airlines Inc.,2013-06-16,4804
Alaska Airlines Inc.,2013-06-17,4804
Alaska Airlines Inc.,2013-06-18,4804
Alaska Airlines Inc.,2013-06-19,4804
Alaska Airlines Inc.,2013-06-20,4804
Alaska Airlines Inc.,2013-06-21,4804
Alaska Airlines Inc.,2013-06-22,4804
Alaska Airlines Inc.,2013-06-23,4804
Alaska Airlines Inc.,2013-06-24,4804
Alaska Airlines Inc.,2013-06-25,4804
Alaska Airlines Inc.,2013-06-26,4804
Alaska Airlines Inc.,2013-06-27,4804
Alaska Airlines Inc.,2013-06-28,4804
Alaska Airlines Inc.,2013-06-29,4804
Alaska Airlines Inc.,2013-06-30,4804
Alaska Airlines Inc.,2013-07-01,4804
Alaska Airlines Inc.,2013-07-02,4804
Alaska Airlines Inc.,2013-07-03,4804
Alaska Airlines Inc.,2013-07-04,4804
Alaska Airlines Inc.,2013-07-05,4804
Alaska Airlines Inc.,2013-07-06,4804
Alaska Airlines Inc.,2013-07-07,4804
Alaska Airlines Inc.,2013-07-08,4804
Alaska Airlines Inc.,2013-07-09,4804
Alaska Airlines Inc.,2013-07-10,4804
Alaska Airlines Inc.,2013-07-11,4804
Alaska Airlines Inc.,2013-07-12,4804
Alaska Airlines Inc.,2013-07-13,4804
Alaska Airlines Inc.,2013-07-14,4804
Alaska Airlines Inc.,2013-07-15,4804
Alaska Airlines Inc.,2013-07-16,4804
Alaska Airlines Inc.,2013-07-17,4804
Alaska Airlines Inc.,2013-07-18,4804
Alaska Airlines Inc.,2013-07-19,4804
Alaska Airlines Inc.,2013-07-20,4804
Alaska Airlines Inc.,2013-07-21,4804
Alaska Airlines Inc.,2013-07-22,4804
Alaska Airlines Inc.,2013-07-23,4804
Alaska Airlines Inc.,2013-07-24,4804
Alaska Airlines Inc.,2013-07-25,4804
Alaska Airlines Inc.,2013-07-26,4804
Alaska Airlines Inc.,2013-07-27,4804
Alaska Airlines Inc.,2013-07-28,4804
Alaska Airlines Inc.,2013-07-29,4804
Alaska Airlines Inc.,2013-07-30,4804
Alaska Airlines Inc.,2013-07-31,4804
Alaska Airlines Inc.,2013-08-01,4804
Alaska Airlines Inc.,2013-08-02,4804
Alaska Airlines Inc.,2013-08-03,4804
Alaska Airlines Inc.,2013-08-04,4804
Alaska Airlines Inc.,2013-08-05,4804
Alaska Airlines Inc.,2013-08-06,4804
Alaska Airlines Inc.,2013-08-07,4804
Alaska Airlines Inc.,2013-08-08,4804
Alaska Airlines Inc.,2013-08-09,4804
Alaska Airlines Inc.,2013-08-10,4804
Alaska Airlines Inc.,2013-08-11,4804
Alaska Airlines Inc.,2013-08-12,4804
Alaska Airlines Inc.,2013-08-13,4804
Alaska Airlines Inc.,2013-08-14,4804
Alaska Airlines Inc.,2013-08-15,4804
Alaska Airlines Inc.,2013-08-16,4804
Alaska Airlines Inc.,2013-08-17,4804
Alaska Airlines Inc.,2013-08-18,4804
Alaska Airlines Inc.,2013-08-19,4804
Alaska Airlines Inc.,2013-08-20,4804
Alaska Airlines Inc.,2013-08-21,4804
Alaska Airlines Inc.,2013-08-22,4804
Alaska Airlines Inc.,2013-08-23,4804
Alaska Airlines Inc.,2013-08-24,4804
Alaska Airlines Inc.,2013-08-25,4804
Alaska Airlines Inc.,2013-08-26,4804
Alaska Airlines Inc.,2013-08-27,4804
Alaska Airlines Inc.,2013-08-28,4804
Alaska Airlines Inc.,2013-08-29,4804
Alaska Airlines Inc.,2013-08-30,4804
Alaska Airlines Inc.,2013-08-31,4804
Alaska Airlines Inc.,2013-09-01,4804
Alaska Airlines Inc.,2013-09-02,4804
Alaska Airlines Inc.,2013-09-03,4804
Alaska Airlines Inc.,2013-09-04,4804
Alaska Airlines Inc.,2013-09-05,4804
Alaska Airlines Inc.,2013-09-06,4804
Alaska Airlines Inc.,2013-09-07,4804
Alaska Airlines Inc.,2013-09-08,4804
Alaska Airlines Inc.,2013-09-09,4804
Alaska Airlines Inc.,2013-09-10,4804
Alaska Airlines Inc.,2013-09-11,4804
Alaska Airlines Inc.,2013-09-12,4804
Alaska Airlines Inc.,2013-09-13,4804
Alaska Airlines Inc.,2013-09-14,4804
Alaska Airlines Inc.,2013-09-15,4804
